label,connectome_type,dataset,n_nodes,n_edges,density,sparsity,mean_weight,max_weight,Q,n_communities,in_degree_cv,out_degree_cv,total_degree_cv,reciprocity,n_reciprocal_pairs,fraction_in_nontrivial_scc,clustering_coefficient,n_triangles
electrical_synapse_WhiteL4,electrical_synapse,WhiteL4,302,568,0.006248487382015797,0.9937515126179842,2.6514084507042255,8.0,0.6842219435670334,162,1.480086681818985,1.480086681818985,1.480086681818985,1.0,284,0.5,0.14860681114551083,64
electrical_synapse_WhiteWhole,electrical_synapse,WhiteWhole,302,1126,0.012386966183362302,0.9876130338166377,1.689165186500888,23.0,0.698539696439964,41,1.5876755682312127,1.5876755682312127,1.5876755682312127,1.0,563,0.9039735099337748,0.14719127755392272,207
electrical_synapse_WitvlietA_07,electrical_synapse,WitvlietA_07,302,522,0.005742447910937053,0.994257552089063,1.3908045977011494,6.0,0.7000546410764293,162,1.4502477413126518,1.4502477413126518,1.4502477413126518,1.0,261,0.5099337748344371,0.1653771760154739,57
electrical_synapse_WitvlietA_08,electrical_synapse,WitvlietA_08,302,592,0.006512507975622099,0.9934874920243779,1.402027027027027,7.0,0.639268398896792,160,1.6124443477429389,1.6124443477429389,1.6124443477429389,1.0,296,0.5066225165562914,0.11339522546419098,57
electrical_synapse_WitvlietL1_01,electrical_synapse,WitvlietL1_01,302,162,0.0017821390068425338,0.9982178609931575,1.2592592592592593,9.0,0.838427527873895,230,2.4277526816851527,2.4277526816851527,2.4277526816851527,1.0,81,0.3079470198675497,0.024193548387096774,1
electrical_synapse_WitvlietL1_02,electrical_synapse,WitvlietL1_02,302,238,0.0026182042199291546,0.9973817957800708,1.0756302521008403,3.0,0.745635986328125,210,1.7921643416114916,1.7921643416114916,1.7921643416114916,1.0,119,0.36423841059602646,0.06593406593406594,6
electrical_synapse_WitvlietL1_03,electrical_synapse,WitvlietL1_03,302,184,0.0020241578843149767,0.997975842115685,1.1630434782608696,3.0,0.8105511398375406,226,1.9596773715261544,1.9596773715261544,1.9596773715261544,1.0,92,0.31788079470198677,0.0759493670886076,4
electrical_synapse_WitvlietL1_04,electrical_synapse,WitvlietL1_04,302,404,0.004444346659039405,0.9955556533409606,1.1683168316831682,3.0,0.7052481327204827,189,1.6849282034696487,1.6849282034696487,1.6849282034696487,1.0,202,0.4271523178807947,0.11822660098522167,32
electrical_synapse_WitvlietL2_05,electrical_synapse,WitvlietL2_05,302,566,0.0062264856658819385,0.9937735143341181,1.4452296819787986,4.0,0.6536725629330287,161,1.5551275502744346,1.5551275502744346,1.5551275502744346,1.0,283,0.5033112582781457,0.13119533527696792,60
electrical_synapse_WitvlietL3_06,electrical_synapse,WitvlietL3_06,302,420,0.004620360388110273,0.9953796396118897,1.2523809523809524,4.0,0.7289320360277003,172,1.5125100596192194,1.5125100596192194,1.5125100596192194,1.0,210,0.47019867549668876,0.11013215859030837,25
neuropeptide_RipollSanchez2023_midRange,neuropeptide,RipollSanchez2023_midRange,302,40254,0.44282854062616883,0.5571714593738312,2.6561335519451483,19.0,0.1624208963448062,2,0.9433791159426816,0.617761337469362,0.642965439778274,0.6206588165151289,12492,0.9536423841059603,0.7042470916112877,1464321
neuropeptide_Bentley2016,neuropeptide,Bentley2016,302,58112,0.6392818639853909,0.3607181360146091,4.331274091409692,35.0,0.01786963282267466,5,0.9446256384547601,0.5725579327183136,0.5716738670230036,0.6540817731277533,19005,0.9470198675496688,0.8042179850493961,3137695
neuropeptide_NLP-40_AEX-2_RipollSanchez2023_midRange,neuropeptide,NLP-40_AEX-2_RipollSanchez2023_midRange,302,257,0.0028272205232008096,0.9971727794767992,1.0,1.0,0.013565686081545573,271,4.07867673024649,4.3572696063456275,2.899592515256364,0.0,0,0.0,0.00024307243558580456,1
neuropeptide_NLP-12_CKR-1_RipollSanchez2023_midRange,neuropeptide,NLP-12_CKR-1_RipollSanchez2023_midRange,302,156,0.0017161338584409584,0.9982838661415591,1.0,1.0,0.0,302,2.192645048267573,9.98331942124796,5.0614809832290915,0.0,0,0.0,0.0,0
neuropeptide_NLP-12_CKR-2_RipollSanchez2023_midRange,neuropeptide,NLP-12_CKR-2_RipollSanchez2023_midRange,302,150,0.001650128710039383,0.9983498712899607,1.0,1.0,0.0,302,2.244994432064365,9.983319421247959,5.0672148826220775,0.0,0,0.0,0.0,0
neuropeptide_FLP-10_DMSR-1_RipollSanchez2023_midRange,neuropeptide,FLP-10_DMSR-1_RipollSanchez2023_midRange,302,683,0.007513586059712658,0.9924864139402874,1.0,1.0,0.3017177253911668,209,1.6870506793592668,4.817181703673453,2.575720995108193,0.029282576866764276,10,0.016556291390728478,0.04222742875824116,1020
neuropeptide_FLP-11_DMSR-1_RipollSanchez2023_midRange,neuropeptide,FLP-11_DMSR-1_RipollSanchez2023_midRange,302,3257,0.03582979472398847,0.9641702052760115,1.0,1.0,0.2235681603657751,192,1.6682955640016022,2.2325962733836318,1.5580954373322502,0.20755296284924776,338,0.09271523178807947,0.29194893551223944,33019
neuropeptide_FLP-12_DMSR-1_RipollSanchez2023_midRange,neuropeptide,FLP-12_DMSR-1_RipollSanchez2023_midRange,302,1497,0.016468284526193044,0.9835317154738069,1.0,1.0,0.127429207111618,202,1.6031052350616404,3.79004942751087,2.0601979993763857,0.02004008016032064,15,0.019867549668874173,0.05871164989868108,5558
neuropeptide_FLP-13_DMSR-1_RipollSanchez2023_midRange,neuropeptide,FLP-13_DMSR-1_RipollSanchez2023_midRange,302,1080,0.011880926712283559,0.9881190732877164,1.0,1.0,0.09570301783264745,206,1.9635979056960138,3.891323312106251,2.2320400407439434,0.027777777777777776,15,0.019867549668874173,0.09186171775536187,4598
neuropeptide_FLP-16_DMSR-1_RipollSanchez2023_midRange,neuropeptide,FLP-16_DMSR-1_RipollSanchez2023_midRange,302,4948,0.054432245715165785,0.9455677542848342,1.0,1.0,0.22106479741780152,158,1.6792639478983897,1.7032089080876198,1.1484746640325867,0.0582053354890865,144,0.08278145695364239,0.19954769446246956,48788
neuropeptide_FLP-17_DMSR-1_RipollSanchez2023_midRange,neuropeptide,FLP-17_DMSR-1_RipollSanchez2023_midRange,302,112,0.0012320961034960726,0.9987679038965039,1.0,1.0,0.0,302,2.095914393017316,12.247448713915889,6.172375092759212,0.0,0,0.0,0.0,0
neuropeptide_FLP-25_DMSR-1_RipollSanchez2023_midRange,neuropeptide,FLP-25_DMSR-1_RipollSanchez2023_midRange,302,908,0.009988779124771733,0.9900112208752283,1.0,1.0,0.24351821304508142,203,1.6463914200543226,4.43139509775101,2.3592552553084127,0.006607929515418502,3,0.009933774834437087,0.032796940395439456,1620
neuropeptide_FLP-28_DMSR-1_RipollSanchez2023_midRange,neuropeptide,FLP-28_DMSR-1_RipollSanchez2023_midRange,302,1450,0.01595124419704737,0.9840487558029526,1.0,1.0,0.20536979785969084,201,1.6372518374008722,3.5939619068475914,1.9382109259162843,0.013793103448275862,10,0.016556291390728478,0.05193008927448761,4276
