receptor,receptor_subunit,ligand,ligand_isoform,confidence,channel,GPCR,muscarinic,nicotinic,metabotropic,neuronal_expression,non_neuronal_expression
mod-1,"[""MOD-1A"", ""MOD-1B"", ""MOD-1C""]",serotonin,,1,1,0,0,0,0,"[""AIA"", ""AIB"", ""AIY"", ""AIZ"", ""RIC"", ""RID"", ""RIM""]",
ser-1,"[""SER-1A"", ""SER-1B""]",serotonin,,1,0,1,0,0,1,"[""RIA"", ""RIC"", ""URY"", ""PVT"", ""PVQ""]","[""pharyngeal_muscle"", ""vulval_muscle"", ""uterine_cells"", ""intestine"", ""diagonal_muscle""]"
ser-3,,serotonin,,0.5,0,1,0,0,0,"[""SIA"", ""ASH"", ""PHA"", ""PHB"", ""PVQ""]","[""pharynx"", ""head_muscle"", ""phasmid_socket"", ""intestine"", ""spermatheca"", ""eggs"", ""gonad"", ""vulva""]"
ser-4,,serotonin,,1,0,1,0,0,1,"[""RIB"", ""RIS"", ""PVT"", ""DVA"", ""DVC""]",
ser-5,,serotonin,,1,0,1,0,0,1,"[""ASH"", ""AWB""]","[""vulval_muscle"", ""body_wall_muscle"", ""intestine""]"
ser-7,,serotonin,,1,0,1,0,0,0,"[""I2"", ""I3"", ""I4"", ""I6"", ""M2"", ""M3"", ""M4"", ""M5"", ""MC""]","[""vulval_muscle"", ""intestine""]"
lgc-55,,tyramine,,0.5,1,0,0,0,0,"[""ALN"", ""AVB"", ""HSN"", ""IL1D"", ""IL1V"", ""RMD"", ""SMDD"", ""SMDV"", ""SDQ""]","[""neck_muscle"", ""tail_muscle""]"
ser-2,"[""SER-2A"", ""SER-2B"", ""SER-2D""]",tyramine,,1,0,1,0,0,0,"[""AIY"", ""ALN"", ""AUA"", ""AVH"", ""CAN"", ""DA9"", ""LUA"", ""NSM"", ""PVC"", ""RIA"", ""RIC"", ""RID"", ""SABD"", ""SABV"", ""SDQ"", ""AIZ"", ""BDU"", ""DVA"", ""PVT"", ""RME"", ""SIAD"", ""SIAV"", ""OLL"", ""PVD"", ""PDA""]","[""head_muscle"", ""diagonal_muscle"", ""excretory_gland""]"
tyra-2,,tyramine,,1,0,1,0,0,0,"[""MC"", ""NSM"", ""ASE"", ""ASG"", ""ASH"", ""ASI"", ""PVD"", ""CAN"", ""ALM""]",
tyra-3,,tyramine,,1,0,1,0,0,0,"[""CEP"", ""ADE""]","[""vulva""]"
hpa-1,,,,1,0,0,0,0,0,,"[""phasmid_socket"", ""intestine"", ""amphid_socket""]"
hpa-2,,,,1,0,0,0,0,0,,"[""phasmid_socket"", ""intestine"", ""amphid_socket""]"
lat-1,"[""LAT-1A"", ""LAT-1B"", ""LAT-1C""]",,,1,0,1,0,0,0,"[""AIY""]",
lat-2,,,,1,0,1,0,0,0,,"[""gland_cells"", ""arcade_cells""]"
lgc-37,,,,1,1,0,0,0,0,"[""ALM"", ""AVM"", ""PLM""]",
npr-14,,,,1,0,1,0,0,0,"[""AIY""]",
npr-15,,,,1,0,1,0,0,0,"[""AWC"", ""ASG"", ""ASE"", ""ASI"", ""ASJ""]",
npr-16,"[""NPR-16A"", ""NPR-16B""]",,,1,0,1,0,0,0,,"[""anal_depressor_muscle"", ""vulval_muscle""]"
npr-9,,,,1,0,1,0,0,0,"[""AIB""]",
seb-2,,,,1,0,1,0,0,0,,"[""head_muscle"", ""vulval_muscle""]"
