RICR,glr-5,,,,,,,,,,,,
RID,acr-15,acr-16,exp-1,lgc-38,,,,,,,,,
RIFL,glr-4,glr-5,,,,,,,,,,,
RIFR,glr-4,glr-5,,,,,,,,,,,
RIGL,glr-1,glr-2,acc-2,acr-12,,,,,,,,,
RIGR,glr-1,glr-2,acc-2,acr-12,,,,,,,,,
RIH,acc-2,glr-2,,,,,,,,,,,
RIML,glr-5,glr-4,acr-15,glr-1,nmr-1,nmr-2,lgc-47,acr-6,acr-3,avr-14,,,
RIMR,glr-5,glr-4,acr-15,glr-1,nmr-1,nmr-2,lgc-47,acr-6,acr-3,avr-14,,,
RIPL,,,,,,,,,,,,,
RIPR,,,,,,,,,,,,,
RIR,glr-2,,,,,,,,,,,,
RIS,glr-1,ggr-2,avr-15,,,,,,,,,,
RIVL,lgc-38,,lgc-47,,,,,,,,,,
RIVR,lgc-38,,lgc-47,,,,,,,,,,
RMDDL,acc-1,glr-1,glr-2,glr-4,glr-5,,lgc-47,,,,,,
RMDDR,acc-1,glr-1,glr-2,glr-4,glr-5,,lgc-47,,,,,,
RMDL,acc-1,glr-1,glr-4,glr-5,gab-1,lgc-37,lgc-47,,,,,,
RMDR,acc-1,glr-1,glr-4,glr-5,gab-1,lgc-37,lgc-47,,,,,,
RMDVL,acc-1,glr-1,glr-2,glr-4,glr-5,,lgc-47,,,,,,
RMDVR,acc-1,glr-1,glr-2,glr-4,glr-5,,lgc-47,,,,,,
RMED,acr-14,glr-5,avr-15,,,,,,,,,,
RMEL,glr-1,acr-14,glr-5,,,,,,,,,,
RMER,glr-1,acr-14,glr-5,,,,,,,,,,
RMEV,acr-14,glr-5,avr-15,,,,,,,,,,
RMFL,lgc-38,glr-5,lgc-47,glr-2,,,,,,,,,
RMFR,lgc-38,glr-5,lgc-47,glr-2,,,,,,,,,
RMGL,avr-15,glr-4,glr-5,,,,,,,,,,
RMGR,avr-15,glr-4,glr-5,,,,,,,,,,
RMHL,glr-5,,,,,,,,,,,,
RMHR,glr-5,,,,,,,,,,,,
SAADL,acr-15,glr-4,acc-1,lgc-47,glr-5,,,,,,,,
SAADR,acr-15,glr-4,acc-1,lgc-47,glr-5,,,,,,,,
